Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy,Test Accuracy
1,1.8290123045444489,1.7388373613357544,0.25,0.1794871794871795,0.19148936170212766
2,1.8290123045444489,1.7388373613357544,0.25,0.1794871794871795,0.19148936170212766
3,1.8290123045444489,1.7388373613357544,0.25,0.1794871794871795,0.19148936170212766
4,1.8290123045444489,1.7388373613357544,0.25,0.1794871794871795,0.19148936170212766
5,1.8290123045444489,1.7388373613357544,0.25,0.1794871794871795,0.19148936170212766
6,1.8290123045444489,1.7388373613357544,0.25,0.1794871794871795,0.19148936170212766
7,1.8290123045444489,1.7388373613357544,0.25,0.1794871794871795,0.19148936170212766
8,1.8290123045444489,1.7388373613357544,0.25,0.1794871794871795,0.19148936170212766
9,1.8290123045444489,1.7388373613357544,0.25,0.1794871794871795,0.19148936170212766
10,1.8290123045444489,1.7388373613357544,0.25,0.1794871794871795,0.19148936170212766
11,1.8290123045444489,1.7388373613357544,0.25,0.1794871794871795,0.19148936170212766
12,1.8290123045444489,1.7388373613357544,0.25,0.1794871794871795,0.19148936170212766
13,1.8290123045444489,1.7388373613357544,0.25,0.1794871794871795,0.19148936170212766
14,1.8290123045444489,1.7388373613357544,0.25,0.1794871794871795,0.19148936170212766
15,1.8290123045444489,1.7388373613357544,0.25,0.1794871794871795,0.19148936170212766
16,1.8290123045444489,1.7388373613357544,0.25,0.1794871794871795,0.19148936170212766
17,1.8290123045444489,1.7388373613357544,0.25,0.1794871794871795,0.19148936170212766
18,1.8290123045444489,1.7388373613357544,0.25,0.1794871794871795,0.19148936170212766
19,1.8290123045444489,1.7388373613357544,0.25,0.1794871794871795,0.19148936170212766
20,1.8290123045444489,1.7388373613357544,0.25,0.1794871794871795,0.19148936170212766
21,1.8290123045444489,1.7388373613357544,0.25,0.1794871794871795,0.19148936170212766
22,1.8290123045444489,1.7388373613357544,0.25,0.1794871794871795,0.19148936170212766
23,1.8290123045444489,1.7388373613357544,0.25,0.1794871794871795,0.19148936170212766
24,1.8290123045444489,1.7388373613357544,0.25,0.1794871794871795,0.19148936170212766
