Epoch,Train Loss,Test Loss,Validation Loss,Train Accuracy,Test Accuracy,Validation Accuracy
1,1.8181755095720291,1.7965243260065715,1.7968565622965496,0.13709677419354838,0.19148936170212766,0.1794871794871795
2,1.7960313111543655,1.7921510934829712,1.7896702686945598,0.1774193548387097,0.19148936170212766,0.1794871794871795
3,1.7979972809553146,1.7857062021891277,1.7873801390329997,0.16129032258064516,0.19148936170212766,0.1794871794871795
4,1.7781695276498795,1.7791016101837158,1.7781134843826294,0.11290322580645161,0.19148936170212766,0.1794871794871795
5,1.7708428353071213,1.7727049986521404,1.7685408194859822,0.18548387096774194,0.23404255319148937,0.1794871794871795
6,1.7545012682676315,1.7633315722147624,1.7571961879730225,0.1774193548387097,0.2553191489361702,0.2564102564102564
7,1.7290832996368408,1.7546112537384033,1.7364686727523804,0.23387096774193547,0.2553191489361702,0.2564102564102564
8,1.7304532378911972,1.7453194459279378,1.7511043945948284,0.23387096774193547,0.2553191489361702,0.2564102564102564
9,1.7132467180490494,1.7392330169677734,1.7270017464955647,0.27419354838709675,0.2553191489361702,0.2564102564102564
10,1.6955507397651672,1.7322988907496135,1.7329351902008057,0.29838709677419356,0.2553191489361702,0.2564102564102564
11,1.719350442290306,1.7283494472503662,1.7149296601613362,0.27419354838709675,0.2553191489361702,0.2564102564102564
12,1.6709232181310654,1.716087023417155,1.7096270720163982,0.25806451612903225,0.2553191489361702,0.2564102564102564
13,1.7055892944335938,1.7172056833902996,1.6769047578175862,0.25,0.2553191489361702,0.2564102564102564
14,1.6984694749116898,1.7054686546325684,1.684304674466451,0.25,0.2553191489361702,0.2564102564102564
15,1.676621824502945,1.7060563166936238,1.7161317666371663,0.29838709677419356,0.2553191489361702,0.2564102564102564
16,1.6669282615184784,1.6972707907358806,1.6822538375854492,0.28225806451612906,0.2553191489361702,0.2564102564102564
17,1.6904424875974655,1.7036370436350505,1.6670626004536946,0.21774193548387097,0.2553191489361702,0.2564102564102564
18,1.6659820824861526,1.6905522346496582,1.6485023101170857,0.3064516129032258,0.2553191489361702,0.2564102564102564
19,1.6499271094799042,1.6907546917597454,1.6864551305770874,0.2903225806451613,0.2553191489361702,0.2564102564102564
20,1.667175367474556,1.6906689405441284,1.6495598157246907,0.27419354838709675,0.2553191489361702,0.2564102564102564
21,1.6568540185689926,1.6902933518091838,1.6974844137827556,0.27419354838709675,0.2553191489361702,0.2564102564102564
22,1.6291759014129639,1.6892106930414836,1.67080819606781,0.3064516129032258,0.2553191489361702,0.2564102564102564
